STATUS | wrapper  | 2021/04/10 09:44:55 | openHAB installed.
STATUS | wrapper  | 2021/04/10 09:45:02 | --> Wrapper Started as Service
STATUS | wrapper  | 2021/04/10 09:45:03 | Launching a JVM...
INFO   | jvm 1    | 2021/04/10 09:45:04 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2021/04/10 09:45:04 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2021/04/10 09:45:04 | 
INFO   | jvm 1    | 2021/04/10 09:45:05 | WARNING: An illegal reflective access operation has occurred
INFO   | jvm 1    | 2021/04/10 09:45:05 | WARNING: Illegal reflective access by org.eclipse.osgi.storage.FrameworkExtensionInstaller (file:/C:/Users/Admin/Downloads/openhab-3.0.1/runtime/system/org/eclipse/platform/org.eclipse.osgi/3.12.100/org.eclipse.osgi-3.12.100.jar) to method java.net.URLClassLoader.addURL(java.net.URL)
INFO   | jvm 1    | 2021/04/10 09:45:05 | WARNING: Please consider reporting this to the maintainers of org.eclipse.osgi.storage.FrameworkExtensionInstaller
INFO   | jvm 1    | 2021/04/10 09:45:05 | WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
INFO   | jvm 1    | 2021/04/10 09:45:05 | WARNING: All illegal access operations will be denied in a future release
INFO   | jvm 1    | 2021/04/10 09:45:12 | Warning: Nashorn engine is planned to be removed from a future JDK release
INFO   | jvm 1    | 2021/04/10 09:45:12 | Warning: Nashorn engine is planned to be removed from a future JDK release
ERROR  | wrapper  | 2021/04/10 12:08:41 | JVM exited unexpectedly.
STATUS | wrapper  | 2021/04/10 12:08:45 | Launching a JVM...
INFO   | jvm 2    | 2021/04/10 12:08:48 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 2    | 2021/04/10 12:08:48 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 2    | 2021/04/10 12:08:48 | 
INFO   | jvm 2    | 2021/04/10 12:08:49 | WARNING: An illegal reflective access operation has occurred
INFO   | jvm 2    | 2021/04/10 12:08:49 | WARNING: Illegal reflective access by org.eclipse.osgi.storage.FrameworkExtensionInstaller (file:/C:/Users/Admin/Downloads/openhab-3.0.1/runtime/system/org/eclipse/platform/org.eclipse.osgi/3.12.100/org.eclipse.osgi-3.12.100.jar) to method java.net.URLClassLoader.addURL(java.net.URL)
INFO   | jvm 2    | 2021/04/10 12:08:49 | WARNING: Please consider reporting this to the maintainers of org.eclipse.osgi.storage.FrameworkExtensionInstaller
INFO   | jvm 2    | 2021/04/10 12:08:49 | WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
INFO   | jvm 2    | 2021/04/10 12:08:49 | WARNING: All illegal access operations will be denied in a future release
INFO   | jvm 2    | 2021/04/10 12:09:10 | Warning: Nashorn engine is planned to be removed from a future JDK release
INFO   | jvm 2    | 2021/04/10 12:09:10 | Warning: Nashorn engine is planned to be removed from a future JDK release
INFO   | jvm 2    | 2021/04/10 12:09:53 | Warning: Nashorn engine is planned to be removed from a future JDK release
INFO   | jvm 2    | 2021/04/10 12:09:53 | Warning: Nashorn engine is planned to be removed from a future JDK release
STATUS | wrapper  | 2021/04/10 12:09:55 | <-- Wrapper Stopped
